virtue,pole,candidate,corpus_frequency,attested,verdict,verifier_note,example_1,example_2,example_3
truthfulness,affirming,őszinteség,6,True,,,"álszentség , teátrális Facebook-videógyártás , kicsit több **őszinteség** , higgye el , akkor a következő","Ami pedig az átláthatóságot és az **őszinteséget** illeti , ön tartott múlt héten egy","Bátorságot várnak , **őszinteséget** várnak , bizalmat várnak és emberséget várnak"
truthfulness,accusing,elhallgat,32,True,,,", hogy Magyarország nem építhet új korszakot **elhallgatott** bűnökre , eltitkolt szerződésekre , magánérdekek szolgálatába","minden döntés , minden közpénzmozgás és minden **elhallgatott** ügy , minden el lesz rendezve ,","évek óta , erről tudtak , és **elhallgatták** ."
truthfulness,accusing,eltitkol,12,True,,,Melyik közbeszerzést szerették volna **eltitkolni** az uniós szervek vagy az Integritás Hatóság,"abból indul ki , hogy valaki direkt **eltitkolja** vagyonának valamelyik részét .","szükség van ilyen lépésekre , tehát ezt **eltitkolni** sem kell ."
truthfulness,accusing,félrevezet,9,True,,,"a kérdést , mert akkor valószínűleg mindenkit **félrevezetett** a TISZA-kormány ennek vonatkozásában .","A politikai propaganda szándékosan **félrevezette** az embereket , azt hazudva , hogy","Önök felhasználják arra , hogy **félrevezessék** a magyarokat ."
truthfulness,accusing,félrevezető,5,True,,,is folytatták a múlt héten is a **félrevezető** kommunikációt .,"kell tisztítani , hogy véget vessünk a **félrevezető** anyagoknak .","hogy szigorúbban léphessen fel a hamis vagy **félrevezető** vagyonnyilatkozatokkal szemben , és hogy erősebb elszámoltathatóságot"
truthfulness,accusing,hazudik,160,True,,,Megint **hazudik** ! ),"kifejezni az együttérzésüket és sajnálatukat , amiért **hazudtak** , rettegésben és szorongásban tartották a magyar","úr vagy a TISZA Párt arcába nem **hazudhattak** volna , hiszen önök még akkor nem"
truthfulness,accusing,hazug,44,True,,,"az a válasza , hogy „ egy **hazug** tróger vagy ” .","csak reklámozásra a Fidesz-KDNP-kormány , hogy a **hazug** TISZA-adót reklámozza .","fel , és ön jön egy ilyen **hazug** , nem tudok mást mondani , alávaló"
truthfulness,accusing,hazugság,107,True,,,"önök , hogy esetleg válaszolnánk azokra a **hazugságokra** , amiket terjesztenek ?","ehhez az kell , hogy az önök **hazugságait** és félelemkeltő felszólalásait még hetekig hallgassuk itt","az elmúlt időszak tetteivel , döntéseik és **hazugságaik** következményével ."
truthfulness,accusing,megtéveszt,6,True,,,az elmúlt években a korábbi kormánypárt részéről **megtévesztették** a magyar embereket .,"csak azért , mert a miniszter asszonyt **megtévesztik** a kollégái , ugyanis soha nem volt","kedvezményes forintalapú hiteleket , hagyták , hogy **megtévesszék** a magyar embereket , tőrbe csalták a"
truthfulness,accusing,megtévesztő,8,True,,,"hirdetéseket tömegesen terjeszteni , amelyek valótlan vagy **megtévesztő** módon ábrázolják a valóságot , sértik az",a Mi Hazánk Mozgalom bűncselekménnyé nyilvánítaná a **megtévesztő** kamuvideók készítését .,"**Megtévesztő** az elnevezése , hiszen költségtérítésnek hívják ,"
truthfulness,accusing,titkol,10,True,,,Nincs mit **titkolnom** .,"helyiek , kedves Gyopáros Alpár , miért **titkolták** volna el önök a helyiek , a","rokonának a vagyonnyilatkozata volt az , amit **titkolni** szerettek volna ?"
truthfulness,accusing,valótlan,26,True,,,"hirdetések a médiafelületeket , azokon ne riogassanak **valótlan** politikai tartalommal idős vagy fiatal honfitársakat és","videókat és hirdetéseket tömegesen terjeszteni , amelyek **valótlan** vagy megtévesztő módon ábrázolják a valóságot ,","akartuk vezetni a migrációs paktumot , ez **valótlan** , alaptalan állítás , egy olyan vád"
truthfulness,accusing,valótlanság,4,True,,,"önök frakcióvezetője , Kalázdi-Kerekes Kinga azt a **valótlanságot** tette közzé a Facebook-oldalán , talán még",Ráadásul az ilyen nyílt **valótlanság** állítása ‑ hogy a miniszteri tisztség iránti,Ezért a **valótlanságért** ki vállalja a felelősséget ?
magnanimity,affirming,alázat,23,True,,,"hiszen nagyon komoly munkát végeznek , és **alázattal** teszik .","önkénnyel fogunk kormányozni , hanem munkával , **alázattal** , szakértelemmel , erővel és kitartással ,",", bátorság , bölcsesség ‑ miniszterelnökként kellő **alázattal** ebben fogok példát venni és tanulni tőlük"
magnanimity,affirming,alázatos,2,True,,,"Tehát bízom abban , hogy valóban egy **alázatos** , őszinte munka fog következni .","más típusú plakátok voltak , hol Brüsszel **alázatos** szolgái , hol bármi más , mesterséges",
magnanimity,affirming,emelkedett,3,True,,,"ha az első hozzászólásom a Házban valami **emelkedettebb** témában történik meg , de muszáj egy","kérem , hogy próbáljon meg egy picit **emelkedettebben** hozzáállni a közügyeinkhez , és ilyen vitákat","ülők is ‑ valószínűleg hozzám hasonlóan ‑ **emelkedett** szívvel tették ezt , egyébként én magam"
magnanimity,affirming,felelősségvállalás,15,True,,,"felelősséget várunk el , akkor ennek a **felelősségvállalásnak** ránk még inkább vonatkoznia kell .",", hogy minden politikai vezető részéről nagyobb **felelősségvállalásra** van szükség .","Tehát ez nem csökkentette az állami **felelősségvállalást** , hiszen nominálisan még nőtt is az"
magnanimity,affirming,hálás,26,True,,,"problémának : az első generáció mindig nagyon **hálás** a befogadó országnak és a munkáltatóknak ,","a döntés , és ezért utólag nagyon-nagyon **hálás** vagyok .","nagyon lelkes önkéntes csapatom , akiknek elképesztően **hálás** vagyok a lelkesedésükért és a munkájukért ,"
magnanimity,affirming,köszönet,45,True,,,"Hála és **köszönet** mindenkinek , aki ezt a nemes hivatást",A válaszát **köszönettel** elfogadom .,"is engedjék meg , hogy én is **köszönetet** mondjak a Fejér megye 2-es választókörzetében lévő"
magnanimity,affirming,közjó,11,True,,,fogják ezek a közvagyoni elemek újra a **közjót** szolgálni .,"véd semmiféle méltánylandó szuverenitást , nem a **közjót** szolgálja , nem a magyar emberek szabadságát","pedig az a dolga , hogy a **közjót** optimalizálja , az utasok érdekét nézze ,"
magnanimity,affirming,közszolgálat,16,True,,,"értelme erre hivatkozni akkor , amikor a **közszolgálatot** ilyen értelemben egyébként limitálni akarják .","és aztán a saját elhatározásomból választottam a **közszolgálatot** , mert egész egyszerűen nem tudok magasztosabb","hátrány , hanem erény és előny a **közszolgálatban** ."
magnanimity,affirming,nagylelkű,2,True,,,"bizonyára ott is voltak azért nemes , **nagylelkű** felajánlások .",bizonyára azért más frakcióban is ‑ vannak **nagylelkű** felajánlások különböző missziók számára .,
magnanimity,affirming,nagylelkűség,0,False,,,,,
magnanimity,affirming,nagyvonalú,2,True,,,"az , ha a javadalmazási rendszert egyre **nagyvonalúbbá** tesszük , hanem ha stabil , kiszámítható",Mindeközben a Fidesz-KDNP rendkívül **nagyvonalúan** járt el a politikai vezetők bérének megállapításakor,
magnanimity,affirming,nagyvonalúság,2,True,,,"talán zárásként csak annyi , hogy annyi **nagyvonalúságot** hadd kérjek , hogy ha bennünk ,",", elnök asszony , és köszönöm a **nagyvonalúságát** , hiszen itt azért izgultunk , hogy",
magnanimity,affirming,nemeslelkű,0,False,,,,,
magnanimity,affirming,nemeslelkűség,0,False,,,,,
magnanimity,affirming,szolidaritás,17,True,,,A törvényjavaslat ezt a **szolidaritást** nem egyetlen mondattal törli el .,**Szolidaritás** helyett ez a kitartottság rendszere volt .,De hogy a **Szolidaritás** Mozgalom képviselőjének a nevét nem hallottam soha
magnanimity,affirming,szolidáris,2,True,,,a pedagógustársadalomnak és nem kevésbé a velük **szolidáris** szülői és diákközösségeknek .,"És ha **szolidárisak** akarnak lenni , miniszterelnök úr , kezdje",
magnanimity,affirming,áldozatkész,0,False,,,,,
magnanimity,affirming,áldozatkészség,0,False,,,,,
magnanimity,affirming,önfeláldozás,2,True,,,", Rácz Sándor bátorságát , Marián István **önfeláldozását** , Brusznyai Árpád vagy éppen Mansfeld Péter","hazát választották a párt helyett , az **önfeláldozást** a megalkuvás helyett , életüket adták a",
magnanimity,affirming,önfeláldozó,2,True,,,"TISZA-szigeteknek megköszönjem az áldozatos , kitartó és **önfeláldozó** munkájukat .","is véradásra ‑ ha már ennyi sok **önfeláldozó** magyar ember is ott van ‑ ,",
magnanimity,affirming,önzetlen,1,True,,,"van azoknál , akik ezen törvény alapján **önzetlenül** dolgoznak másokért ; mindenkit ellenőrizni fognak .",,
magnanimity,affirming,önzetlenség,4,True,,,"megosztja másokkal az utolsó falat ételét , **önzetlenségéért** elismerést kap .","hogy bátorsággal , szakmaisággal , odafigyeléssel , **önzetlenséggel** , transzparenciával és a hatalom önkorlátozásával emberséges",", ha az alázattal , mértékletességgel , **önzetlenséggel** párosul ."
magnanimity,accusing,haszonlesés,0,False,,,,,
magnanimity,accusing,kapzsi,0,False,,,,,
magnanimity,accusing,kapzsiság,1,True,,,"a magyar nemzet vagyonát , és a **kapzsiság** uralma helyébe a jog uralmát kell állítanunk",,
magnanimity,accusing,kicsinyes,9,True,,,"a mi elkötelezettségünket ebben a témakörben ilyen **kicsinyes** módon kétségbe vonni , nem szép dolog","hallhattuk az imént ‑ , hogy mindössze **kicsinyes** bosszúról van szó , és ők a","pillanatnyi , mesterségesen szított közhangulatot meglovagolva , **kicsinyes** bosszúra , az emberek legalantasabb ösztöneire építve"
magnanimity,accusing,kisstílű,3,True,,,", amit tárgyalunk , egy kicsinyes és **kisstílű** bosszúhadjárat része , annak az egotripnek a",visszaható hatály egészen arcátlanul lehozza ezt a **kisstílű** bosszúállás szintjére .,"egy politikai bosszú , egy kicsinyes , **kisstílű** bosszú az önök politikai ellenfeleivel szemben ."
magnanimity,accusing,önzés,3,True,,,"kíván begyógyítani , amelyeket a gátlástalan politikai **önzés** és a végletekig kifeszített hatalmi koncentráció ejtett","az Orbán-kormány korrupciója , jogállamrombolása és hatalmi **önzése** miatt tartották vissza , azért , mert","döntéssel , de le is lehet rombolni **önzéssel** , gőggel , rövidlátással vagy éppen kevélységgel"
magnanimity,accusing,önző,0,False,,,,,
magnanimity,accusing,önérdek,1,True,,,"a gondolkodást , a közérdek helyett az **önérdek** , a haza helyett a hatalom szolgálatát",,
